"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",0,183431.774570246,57533.3214080335,66119.5367798469,246134.406200786,65979.6504844521,84290.9074484501,44143.5313424833,253285.369163598,184840.965711178,219301.259885237,127170.787817685,165402.783802883,154969.165795359,11938.5446845553,10721.0016533684,28468.1516751038
"2",183431.774570246,0,221096.615205036,136360.157308989,63160.5801239893,129219.075706016,241517.587027461,226692.958270236,123925.639842239,1409.19114093179,36231.0235992872,71296.9068834452,348118.205884534,152884.126010371,191264.040306985,178269.741712287,202538.983273381
"3",57533.3214080335,221096.615205036,0,85171.307162839,283955.868753516,92189.8477391341,26823.5321111271,63301.3421008288,248914.353084938,222505.806345968,257089.749402612,155196.756140456,136944.597987835,149602.465998536,57535.3199860369,55481.81443624,68127.7962272574
"4",66119.5367798469,136360.157308989,85171.3071628387,0,199362.684893351,10070.4948590125,105436.805192363,110259.423027134,187577.969111721,137769.34844992,172466.40258752,70103.3699445026,213805.222226151,91818.6800086336,78032.5621349633,55431.1939834289,94529.3460884941
"5",246134.406200785,63160.5801239893,283955.868753516,199362.684893351,0,192198.610130761,304428.066045281,289230.645633229,129445.028189468,61756.4774067423,26938.6579028834,129935.420220212,410446.231167825,201246.884319713,253910.043748383,241028.926550105,265107.645866351
"6",65979.6504844521,129219.075706016,92189.8477391339,10070.4948590125,192198.610130762,0,112477.813079772,110118.437245815,187535.519219469,130628.266846948,165307.168490114,63019.5695461947,220590.767949292,99881.3282074436,77884.9783054656,55301.7500941813,94371.8615727348
"7",84290.9074484499,241517.587027462,26823.5321111271,105436.805192363,304428.066045282,112477.813079772,0,83115.6339795256,259442.983532665,242926.778168394,277551.16238504,175490.113635764,135247.4706257,151735.461183095,83702.5290036954,82263.212353405,88023.819488528
"8",44143.5313424833,226692.958270236,63301.3421008289,110259.423027134,289230.645633227,110118.437245815,83115.6339795257,0,297412.364890445,228102.149411168,262432.224426637,171303.329666856,121818.823798994,199109.464461081,35609.4447605949,54864.3265465932,24195.8187285822
"9",253285.369163598,123925.639842239,248914.353084938,187577.969111721,129445.028189468,187535.519219469,259442.983532664,297412.364890445,0,123525.739333885,131977.951050657,126206.04881768,385554.043341699,123991.950608102,265108.146792914,242719.452630816,281488.849980309
"10",184840.965711177,1409.19114093179,222505.806345968,137769.34844992,61756.4774067422,130628.266846948,242926.778168393,228102.149411168,123525.739333885,0,34825.849634949,72053.6784092957,349527.397025466,153640.004830312,192673.231447917,179678.932853218,203948.174414313
"11",219301.259885236,36231.0235992872,257089.749402611,172466.40258752,26938.6579028834,165307.168490114,277551.162385039,262432.224426638,131977.951050657,34825.849634949,0,102998.367747261,383691.949346431,183610.189276909,227088.819156863,214183.874296182,238302.703558712
"12",127170.787817685,71296.9068834452,155196.756140456,70103.3699445027,129935.420220212,63019.5695461947,175490.113635764,171303.329666856,126206.04881768,72053.6784092957,102998.367747261,0,283541.757585856,84424.2039678939,139032.394577382,116552.198123863,155463.042312216
"13",165402.783802884,348118.205884531,136944.597987835,213805.222226151,410446.231167819,220590.767949292,135247.4706257,121818.823798994,385554.043341698,349527.397025462,383691.949346426,283541.757585856,0,286421.075126884,157384.129174392,170816.682119245,145904.29406458
"14",154969.165795358,152884.126010371,149602.465998536,91818.6800086336,201246.884319714,99881.3282074436,151735.461183095,199109.464461081,123991.950608102,153640.004830312,183610.189276908,84424.2039678939,286421.075126884,0,166885.078501068,144276.906032532,183385.576197793
"15",11938.5446845553,191264.040306985,57535.3199860369,78032.5621349633,253910.043748382,77884.9783054656,83702.5290036955,35609.4447605949,265108.146792914,192673.231447917,227088.819156862,139032.394577382,157384.129174391,166885.078501068,0,22658.1009894249,16534.5649505843
"16",10721.0016533684,178269.741712287,55481.8144362399,55431.1939834289,241028.926550106,55301.7500941813,82263.2123534051,54864.3265465931,242719.452630816,179678.932853219,214183.874296183,116552.198123863,170816.682119245,144276.906032532,22658.1009894249,0,39185.8489814201
"17",28468.1516751038,202538.983273382,68127.7962272574,94529.3460884941,265107.645866351,94371.8615727348,88023.8194885279,24195.8187285822,281488.849980309,203948.174414313,238302.703558713,155463.042312216,145904.294064579,183385.576197793,16534.5649505843,39185.8489814201,0
